"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"RNDB","Randolph Bancorp, Inc.","15.123","88752743.298","n/a","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/rndb",
"RJF","Raymond James Financial, Inc.","76.8","11060820556.8","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjf",
"RMAX","RE/MAX Holdings, Inc.","55","973334560","n/a","2013","Finance","Real Estate","http://www.nasdaq.com/symbol/rmax",
"RLGY","Realogy Holdings Corp.","30.28","4178454262.48","n/a","2012","Finance","Real Estate","http://www.nasdaq.com/symbol/rlgy",
"RM","Regional Management Corp.","20.73","240895141.65","n/a","2012","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/rm",
"RF","Regions Financial Corporation","14.54","17477997139.58","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rf",
"RGA","Reinsurance Group of America, Incorporated","125.05","8052237607.2","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/rga",
"RZA","Reinsurance Group of America, Incorporated","29.68","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/rza",
"RZB","Reinsurance Group of America, Incorporated","28.44","0","n/a","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/rzb",
"RNR","RenaissanceRe Holdings Ltd.","135.86","5518913207.46","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rnr",
"RNST","Renasant Corporation","42.13","1870409799.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rnst",
"RBCAA","Republic Bancorp, Inc.","35.41","738591234.47","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","9.25","526900942","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/frbk",
"RVSB","Riverview Bancorp Inc","6.79","152848943.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/rvsb",
"RLI","RLI Corp.","54.2","2383168796.8","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rli",
"ROL","Rollins, Inc.","40.84","8903486539","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/rol",
"RBPAA","Royal Bancshares of Pennsylvania, Inc.","4.22","127133184.34","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rbpaa",
"RY","Royal Bank Of Canada","68.44","100084221110.12","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ry",
"RBS","Royal Bank Scotland plc (The)","6.86","40522020000","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/rbs",
"RBS^F","Royal Bank Scotland plc (The)","26.7","0","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/rbs^f",
"RBS^H","Royal Bank Scotland plc (The)","26.14","0","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/rbs^h",
"SPGI","S&P Global Inc.","139.02","35839356000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/spgi",
"STBA","S&T Bancorp, Inc.","35.11","1228167321.16","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/stba",
"SCAC","Saban Capital Acquisition Corp.","9.99","312187500","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/scac",
"SCACW","Saban Capital Acquisition Corp.","1.2499","0","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/scacw",
"SFE","Safeguard Scientifics, Inc.","11.3","230056869.5","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/sfe",
"SAFT","Safety Insurance Group, Inc.","66.85","1017395096.9","n/a","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/saft",
"SAL","Salisbury Bancorp, Inc.","39.75","110116881","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sal",
"SASR","Sandy Spring Bancorp, Inc.","39.45","945786095.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sasr",
"SC","Santander Consumer USA Holdings Inc.","12.02","4320249338.84","n/a","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/sc",
"SBFG","SB Financial Group, Inc.","17.24","83224703.56","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfg",
"SBFGP","SB Financial Group, Inc.","16","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfgp",
"SEB","Seaboard Corporation","3771.85","4415139017.5","n/a","1996","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seb",
"SBCF","Seacoast Banking Corporation of Florida","23.49","956417383.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbcf",
"SNFCA","Security National Financial Corporation","6.45","101404984.35","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/snfca",
"SEIC","SEI Investments Company","51.29","8140225847.16","n/a","1981","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seic",
"JBN","Select Asset Inc.","15.64","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jbn",
"JBR","Select Asset Inc.","15.62","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jbr",
"SLCT","Select Bancorp, Inc.","12.25","142856082.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/slct",
"SGZA","Selective Insurance Group, Inc.","25.43","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/sgza",
"SIGI","Selective Insurance Group, Inc.","49.2","2865808488","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/sigi",
"SRG","Seritage Growth Properties","38.76","2171640202.44","n/a","2015","Finance","Real Estate","http://www.nasdaq.com/symbol/srg",
